"Cost per message in BRL on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,BRL,"80,000,001",--,Tier rate,0.0259,-25%,"40,000,001",--,Tier rate,0.0259,-25%,"40,000,001",--,Tier rate,0.2895,-25%
Pakistan,BRL,0,"150,000",List rate,0.0515,0%,0,"100,000",List rate,0.0515,0%,0,"100,000",List rate,0.3860,0%
,BRL,"150,001","1,000,000",Tier rate,0.0489,-5%,"100,001","300,000",Tier rate,0.0489,-5%,"100,001","300,000",Tier rate,0.3667,-5%
,BRL,"1,000,001","4,000,000",Tier rate,0.0464,-10%,"300,001","1,000,000",Tier rate,0.0464,-10%,"300,001","1,000,000",Tier rate,0.3474,-10%
,BRL,"4,000,001","25,000,000",Tier rate,0.0438,-15%,"1,000,001","10,000,000",Tier rate,0.0438,-15%,"1,000,001","10,000,000",Tier rate,0.3281,-15%
,BRL,"25,000,001","50,000,000",Tier rate,0.0412,-20%,"10,000,001","20,000,000",Tier rate,0.0412,-20%,"10,000,001","20,000,000",Tier rate,0.3088,-20%
,BRL,"50,000,001",--,Tier rate,0.0386,-25%,"20,000,001",--,Tier rate,0.0386,-25%,"20,000,001",--,Tier rate,0.2895,-25%
Peru,BRL,0,"100,000",List rate,0.1029,0%,0,"120,000",List rate,0.1029,0%,n/a,n/a,n/a,n/a,n/a
,BRL,"100,001","1,000,000",Tier rate,0.0978,-5%,"120,001","400,000",Tier rate,0.0978,-5%,n/a,n/a,n/a,n/a,n/a
,BRL,"1,000,001","4,500,000",Tier rate,0.0926,-10%,"400,001","1,000,000",Tier rate,0.0926,-10%,n/a,n/a,n/a,n/a,n/a
,BRL,"4,500,001","15,000,000",Tier rate,0.0875,-15%,"1,000,001","5,000,000",Tier rate,0.0875,-15%,n/a,n/a,n/a,n/a,n/a
,BRL,"15,000,001","30,000,000",Tier rate,0.0823,-20%,"5,000,001","10,000,000",Tier rate,0.0823,-20%,n/a,n/a,n/a,n/a,n/a
,BRL,"30,000,001",--,Tier rate,0.0772,-25%,"10,000,001",--,Tier rate,0.0772,-25%,n/a,n/a,n/a,n/a,n/a
Poland,BRL,0,"100,000",List rate,0.0628,0%,0,"300,000",List rate,0.0628,0%,n/a,n/a,n/a,n/a,n/a
,BRL,"100,001","1,000,000",Tier rate,0.0597,-5%,"300,001","2,000,000",Tier rate,0.0597,-5%,n/a,n/a,n/a,n/a,n/a
,BRL,"1,000,001","4,500,000",Tier rate,0.0565,-10%,"2,000,001","10,000,000",Tier rate,0.0565,-10%,n/a,n/a,n/a,n/a,n/a
,BRL,"4,500,001","40,000,000",Tier rate,0.0534,-15%,"10,000,001","20,000,000",Tier rate,0.0534,-15%,n/a,n/a,n/a,n/a,n/a
,BRL,"40,000,001","80,000,000",Tier rate,0.0502,-20%,"20,000,001","40,000,000",Tier rate,0.0502,-20%,n/a,n/a,n/a,n/a,n/a
,BRL,"80,000,001",--,Tier rate,0.0471,-25%,"40,000,001",--,Tier rate,0.0471,-25%,n/a,n/a,n/a,n/a,n/a
Qatar,BRL,0,"100,000",List rate,0.0618,0%,0,"300,000",List rate,0.0618,0%,n/a,n/a,n/a,n/a,n/a
,BRL,"100,001","1,000,000",Tier rate,0.0587,-5%,"300,001","2,000,000",Tier rate,0.0587,-5%,n/a,n/a,n/a,n/a,n/a
,BRL,"1,000,001","4,500,000",Tier rate,0.0556,-10%,"2,000,001","10,000,000",Tier rate,0.0556,-10%,n/a,n/a,n/a,n/a,n/a
,BRL,"4,500,001","40,000,000",Tier rate,0.0525,-15%,"10,000,001","20,000,000",Tier rate,0.0525,-15%,n/a,n/a,n/a,n/a,n/a
,BRL,"40,000,001","80,000,000",Tier rate,0.0494,-20%,"20,000,001","40,000,000",Tier rate,0.0494,-20%,n/a,n/a,n/a,n/a,n/a
,BRL,"80,000,001",--,Tier rate,0.0464,-25%,"40,000,001",--,Tier rate,0.0464,-25%,n/a,n/a,n/a,n/a,n/a
Romania,BRL,0,"100,000",List rate,0.1493,0%,0,"300,000",List rate,0.1493,0%,n/a,n/a,n/a,n/a,n/a
,BRL,"100,001","1,000,000",Tier rate,0.1418,-5%,"300,001","2,000,000",Tier rate,0.1418,-5%,n/a,n/a,n/a,n/a,n/a
,BRL,"1,000,001","4,500,000",Tier rate,0.1344,-10%,"2,000,001","10,000,000",Tier rate,0.1344,-10%,n/a,n/a,n/a,n/a,n/a
,BRL,"4,500,001","40,000,000",Tier rate,0.1269,-15%,"10,000,001","20,000,000",Tier rate,0.1269,-15%,n/a,n/a,n/a,n/a,n/a
,BRL,"40,000,001","80,000,000",Tier rate,0.1194,-20%,"20,000,001","40,000,000",Tier rate,0.1194,-20%,n/a,n/a,n/a,n/a,n/a
,BRL,"80,000,001",--,Tier rate,0.1120,-25%,"40,000,001",--,Tier rate,0.1120,-25%,n/a,n/a,n/a,n/a,n/a
Russia,BRL,0,"100,000",List rate,0.2059,0%,0,"300,000",List rate,0.2059,0%,n/a,n/a,n/a,n/a,n/a
,BRL,"100,001","1,000,000",Tier rate,0.1956,-5%,"300,001","2,000,000",Tier rate,0.1956,-5%,n/a,n/a,n/a,n/a,n/a
,BRL,"1,000,001","4,500,000",Tier rate,0.1853,-10%,"2,000,001","10,000,000",Tier rate,0.1853,-10%,n/a,n/a,n/a,n/a,n/a
,BRL,"4,500,001","40,000,000",Tier rate,0.1750,-15%,"10,000,001","20,000,000",Tier rate,0.1750,-15%,n/a,n/a,n/a,n/a,n/a
,BRL,"40,000,001","80,000,000",Tier rate,0.1647,-20%,"20,000,001","40,000,000",Tier rate,0.1647,-20%,n/a,n/a,n/a,n/a,n/a
,BRL,"80,000,001",--,Tier rate,0.1544,-25%,"40,000,001",--,Tier rate,0.1544,-25%,n/a,n/a,n/a,n/a,n/a
Saudi Arabia,BRL,0,"100,000",List rate,0.0551,0%,0,"300,000",List rate,0.0551,0%,0,"300,000",List rate,0.3078,0%
,BRL,"100,001","1,000,000",Tier rate,0.0523,-5%,"300,001","2,000,000",Tier rate,0.0523,-5%,"300,001","2,000,000",Tier rate,0.2924,-5%
,BRL,"1,000,001","4,500,000",Tier rate,0.0496,-10%,"2,000,001","10,000,000",Tier rate,0.0496,-10%,"2,000,001","10,000,000",Tier rate,0.2770,-10%
,BRL,"4,500,001","40,000,000",Tier rate,0.0468,-15%,"10,000,001","20,000,000",Tier rate,0.0468,-15%,"10,000,001","20,000,000",Tier rate,0.2616,-15%
,BRL,"40,000,001","80,000,000",Tier rate,0.0441,-20%,"20,000,001","40,000,000",Tier rate,0.0441,-20%,"20,000,001","40,000,000",Tier rate,0.2462,-20%
,BRL,"80,000,001",--,Tier rate,0.0413,-25%,"40,000,001",--,Tier rate,0.0413,-25%,"40,000,001",--,Tier rate,0.2309,-25%
