"Cost per message in GBP on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,GBP,"50,000,001",--,Tier rate,0.0142,-25%,"20,000,001",--,Tier rate,0.0142,-25%,n/a,n/a,n/a,n/a,n/a
Hungary,GBP,0,"100,000",List rate,0.0251,0%,0,"300,000",List rate,0.0251,0%,n/a,n/a,n/a,n/a,n/a
,GBP,"100,001","1,000,000",Tier rate,0.0238,-5%,"300,001","2,000,000",Tier rate,0.0238,-5%,n/a,n/a,n/a,n/a,n/a
,GBP,"1,000,001","4,500,000",Tier rate,0.0226,-10%,"2,000,001","10,000,000",Tier rate,0.0226,-10%,n/a,n/a,n/a,n/a,n/a
,GBP,"4,500,001","40,000,000",Tier rate,0.0213,-15%,"10,000,001","20,000,000",Tier rate,0.0213,-15%,n/a,n/a,n/a,n/a,n/a
,GBP,"40,000,001","80,000,000",Tier rate,0.0201,-20%,"20,000,001","40,000,000",Tier rate,0.0201,-20%,n/a,n/a,n/a,n/a,n/a
,GBP,"80,000,001",--,Tier rate,0.0188,-25%,"40,000,001",--,Tier rate,0.0188,-25%,n/a,n/a,n/a,n/a,n/a
India,GBP,0,"25,000,000",List rate,0.0010,0%,0,"750,000",List rate,0.0010,0%,0,"750,000",List rate,0.0219,0%
,GBP,"25,000,001","50,000,000",Tier rate,0.0009,-6%,"750,001","15,000,000",Tier rate,0.0009,-6%,"750,001","15,000,000",Tier rate,0.0206,-6%
,GBP,"50,000,001","100,000,000",Tier rate,0.0009,-12%,"15,000,001","20,000,000",Tier rate,0.0009,-12%,"15,000,001","20,000,000",Tier rate,0.0193,-12%
,GBP,"100,000,001","200,000,000",Tier rate,0.0008,-18%,"20,000,001","50,000,000",Tier rate,0.0008,-18%,"20,000,001","50,000,000",Tier rate,0.0180,-18%
,GBP,"200,000,001","300,000,000",Tier rate,0.0008,-24%,"50,000,001","100,000,000",Tier rate,0.0008,-24%,"50,000,001","100,000,000",Tier rate,0.0166,-24%
,GBP,"300,000,001",--,Tier rate,0.0007,-30%,"100,000,001",--,Tier rate,0.0007,-30%,"100,000,001",--,Tier rate,0.0153,-30%
Indonesia,GBP,0,"750,000",List rate,0.0180,0%,0,"750,000",List rate,0.0180,0%,0,"750,000",List rate,0.0979,0%
,GBP,"750,001","4,000,000",Tier rate,0.0171,-5%,"750,001","2,000,000",Tier rate,0.0171,-5%,"750,001","2,000,000",Tier rate,0.0930,-5%
,GBP,"4,000,001","25,000,000",Tier rate,0.0162,-10%,"2,000,001","6,000,000",Tier rate,0.0162,-10%,"2,000,001","6,000,000",Tier rate,0.0881,-10%
,GBP,"25,000,001","75,000,000",Tier rate,0.0153,-15%,"6,000,001","30,000,000",Tier rate,0.0153,-15%,"6,000,001","30,000,000",Tier rate,0.0832,-15%
,GBP,"75,000,001","150,000,000",Tier rate,0.0144,-20%,"30,000,001","60,000,000",Tier rate,0.0144,-20%,"30,000,001","60,000,000",Tier rate,0.0783,-20%
,GBP,"150,000,001",--,Tier rate,0.0135,-25%,"60,000,001",--,Tier rate,0.0135,-25%,"60,000,001",--,Tier rate,0.0734,-25%
Israel,GBP,0,"100,000",List rate,0.0038,0%,0,"300,000",List rate,0.0038,0%,n/a,n/a,n/a,n/a,n/a
,GBP,"100,001","1,000,000",Tier rate,0.0036,-5%,"300,001","2,000,000",Tier rate,0.0036,-5%,n/a,n/a,n/a,n/a,n/a
,GBP,"1,000,001","4,500,000",Tier rate,0.0034,-10%,"2,000,001","10,000,000",Tier rate,0.0034,-10%,n/a,n/a,n/a,n/a,n/a
,GBP,"4,500,001","40,000,000",Tier rate,0.0032,-15%,"10,000,001","20,000,000",Tier rate,0.0032,-15%,n/a,n/a,n/a,n/a,n/a
,GBP,"40,000,001","80,000,000",Tier rate,0.0030,-20%,"20,000,001","40,000,000",Tier rate,0.0030,-20%,n/a,n/a,n/a,n/a,n/a
,GBP,"80,000,001",--,Tier rate,0.0029,-25%,"40,000,001",--,Tier rate,0.0029,-25%,n/a,n/a,n/a,n/a,n/a
Italy,GBP,0,"100,000",List rate,0.0216,0%,0,"300,000",List rate,0.0216,0%,n/a,n/a,n/a,n/a,n/a
,GBP,"100,001","1,000,000",Tier rate,0.0205,-5%,"300,001","2,000,000",Tier rate,0.0205,-5%,n/a,n/a,n/a,n/a,n/a
,GBP,"1,000,001","4,500,000",Tier rate,0.0194,-10%,"2,000,001","10,000,000",Tier rate,0.0194,-10%,n/a,n/a,n/a,n/a,n/a
,GBP,"4,500,001","40,000,000",Tier rate,0.0184,-15%,"10,000,001","20,000,000",Tier rate,0.0184,-15%,n/a,n/a,n/a,n/a,n/a
,GBP,"40,000,001","80,000,000",Tier rate,0.0173,-20%,"20,000,001","40,000,000",Tier rate,0.0173,-20%,n/a,n/a,n/a,n/a,n/a
,GBP,"80,000,001",--,Tier rate,0.0162,-25%,"40,000,001",--,Tier rate,0.0162,-25%,n/a,n/a,n/a,n/a,n/a
Malaysia,GBP,0,"150,000",List rate,0.0101,0%,0,"100,000",List rate,0.0101,0%,0,"100,000",List rate,0.0302,0%
,GBP,"150,001","1,000,000",Tier rate,0.0096,-5%,"100,001","300,000",Tier rate,0.0096,-5%,"100,001","300,000",Tier rate,0.0287,-5%
,GBP,"1,000,001","4,000,000",Tier rate,0.0091,-10%,"300,001","1,000,000",Tier rate,0.0091,-10%,"300,001","1,000,000",Tier rate,0.0272,-10%
,GBP,"4,000,001","25,000,000",Tier rate,0.0086,-15%,"1,000,001","10,000,000",Tier rate,0.0086,-15%,"1,000,001","10,000,000",Tier rate,0.0257,-15%
,GBP,"25,000,001","50,000,000",Tier rate,0.0081,-20%,"10,000,001","20,000,000",Tier rate,0.0081,-20%,"10,000,001","20,000,000",Tier rate,0.0242,-20%
,GBP,"50,000,001",--,Tier rate,0.0076,-25%,"20,000,001",--,Tier rate,0.0076,-25%,"20,000,001",--,Tier rate,0.0227,-25%
Mexico,GBP,0,"1,000,000",List rate,0.0062,0%,0,"250,000",List rate,0.0062,0%,n/a,n/a,n/a,n/a,n/a
,GBP,"1,000,001","5,000,000",Tier rate,0.0059,-5%,"250,001","1,000,000",Tier rate,0.0059,-5%,n/a,n/a,n/a,n/a,n/a
,GBP,"5,000,001","10,000,000",Tier rate,0.0056,-10%,"1,000,001","3,000,000",Tier rate,0.0056,-10%,n/a,n/a,n/a,n/a,n/a
,GBP,"10,000,001","20,000,000",Tier rate,0.0053,-15%,"3,000,001","5,000,000",Tier rate,0.0053,-15%,n/a,n/a,n/a,n/a,n/a
,GBP,"20,000,001","40,000,000",Tier rate,0.0050,-20%,"5,000,001","10,000,000",Tier rate,0.0050,-20%,n/a,n/a,n/a,n/a,n/a
,GBP,"40,000,001",--,Tier rate,0.0047,-25%,"10,000,001",--,Tier rate,0.0047,-25%,n/a,n/a,n/a,n/a,n/a
Netherlands,GBP,0,"100,000",List rate,0.0361,0%,0,"300,000",List rate,0.0361,0%,n/a,n/a,n/a,n/a,n/a
,GBP,"100,001","1,000,000",Tier rate,0.0343,-5%,"300,001","2,000,000",Tier rate,0.0343,-5%,n/a,n/a,n/a,n/a,n/a
,GBP,"1,000,001","4,500,000",Tier rate,0.0325,-10%,"2,000,001","10,000,000",Tier rate,0.0325,-10%,n/a,n/a,n/a,n/a,n/a
,GBP,"4,500,001","40,000,000",Tier rate,0.0307,-15%,"10,000,001","20,000,000",Tier rate,0.0307,-15%,n/a,n/a,n/a,n/a,n/a
,GBP,"40,000,001","80,000,000",Tier rate,0.0289,-20%,"20,000,001","40,000,000",Tier rate,0.0289,-20%,n/a,n/a,n/a,n/a,n/a
,GBP,"80,000,001",--,Tier rate,0.0271,-25%,"40,000,001",--,Tier rate,0.0271,-25%,n/a,n/a,n/a,n/a,n/a
Nigeria,GBP,0,"100,000",List rate,0.0048,0%,0,"300,000",List rate,0.0048,0%,0,"300,000",List rate,0.0541,0%
,GBP,"100,001","1,000,000",Tier rate,0.0046,-5%,"300,001","2,000,000",Tier rate,0.0046,-5%,"300,001","2,000,000",Tier rate,0.0514,-5%
,GBP,"1,000,001","4,500,000",Tier rate,0.0043,-10%,"2,000,001","10,000,000",Tier rate,0.0043,-10%,"2,000,001","10,000,000",Tier rate,0.0487,-10%
,GBP,"4,500,001","40,000,000",Tier rate,0.0041,-15%,"10,000,001","20,000,000",Tier rate,0.0041,-15%,"10,000,001","20,000,000",Tier rate,0.0460,-15%
