"Cost per message in ARS on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
Italy,ARS,0,"100,000",List rate,43.4767,0%,0,"300,000",List rate,43.4767,0%,n/a,n/a,n/a,n/a,n/a
,ARS,"100,001","1,000,000",Tier rate,41.3029,-5%,"300,001","2,000,000",Tier rate,41.3029,-5%,n/a,n/a,n/a,n/a,n/a
,ARS,"1,000,001","4,500,000",Tier rate,39.1290,-10%,"2,000,001","10,000,000",Tier rate,39.1290,-10%,n/a,n/a,n/a,n/a,n/a
,ARS,"4,500,001","40,000,000",Tier rate,36.9552,-15%,"10,000,001","20,000,000",Tier rate,36.9552,-15%,n/a,n/a,n/a,n/a,n/a
,ARS,"40,000,001","80,000,000",Tier rate,34.7814,-20%,"20,000,001","40,000,000",Tier rate,34.7814,-20%,n/a,n/a,n/a,n/a,n/a
,ARS,"80,000,001",--,Tier rate,32.6075,-25%,"40,000,001",--,Tier rate,32.6075,-25%,n/a,n/a,n/a,n/a,n/a
Malaysia,ARS,0,"150,000",List rate,20.2891,0%,0,"100,000",List rate,20.2891,0%,0,"100,000",List rate,60.5775,0%
,ARS,"150,001","1,000,000",Tier rate,19.2746,-5%,"100,001","300,000",Tier rate,19.2746,-5%,"100,001","300,000",Tier rate,57.5486,-5%
,ARS,"1,000,001","4,000,000",Tier rate,18.2602,-10%,"300,001","1,000,000",Tier rate,18.2602,-10%,"300,001","1,000,000",Tier rate,54.5198,-10%
,ARS,"4,000,001","25,000,000",Tier rate,17.2457,-15%,"1,000,001","10,000,000",Tier rate,17.2457,-15%,"1,000,001","10,000,000",Tier rate,51.4909,-15%
,ARS,"25,000,001","50,000,000",Tier rate,16.2313,-20%,"10,000,001","20,000,000",Tier rate,16.2313,-20%,"10,000,001","20,000,000",Tier rate,48.4620,-20%
,ARS,"50,000,001",--,Tier rate,15.2168,-25%,"20,000,001",--,Tier rate,15.2168,-25%,"20,000,001",--,Tier rate,45.4331,-25%
Mexico,ARS,0,"1,000,000",List rate,12.3184,0%,0,"250,000",List rate,12.3184,0%,n/a,n/a,n/a,n/a,n/a
,ARS,"1,000,001","5,000,000",Tier rate,11.7025,-5%,"250,001","1,000,000",Tier rate,11.7025,-5%,n/a,n/a,n/a,n/a,n/a
,ARS,"5,000,001","10,000,000",Tier rate,11.0866,-10%,"1,000,001","3,000,000",Tier rate,11.0866,-10%,n/a,n/a,n/a,n/a,n/a
,ARS,"10,000,001","20,000,000",Tier rate,10.4706,-15%,"3,000,001","5,000,000",Tier rate,10.4706,-15%,n/a,n/a,n/a,n/a,n/a
,ARS,"20,000,001","40,000,000",Tier rate,9.8547,-20%,"5,000,001","10,000,000",Tier rate,9.8547,-20%,n/a,n/a,n/a,n/a,n/a
,ARS,"40,000,001",--,Tier rate,9.2388,-25%,"10,000,001",--,Tier rate,9.2388,-25%,n/a,n/a,n/a,n/a,n/a
Netherlands,ARS,0,"100,000",List rate,72.4612,0%,0,"300,000",List rate,72.4612,0%,n/a,n/a,n/a,n/a,n/a
,ARS,"100,001","1,000,000",Tier rate,68.8381,-5%,"300,001","2,000,000",Tier rate,68.8381,-5%,n/a,n/a,n/a,n/a,n/a
,ARS,"1,000,001","4,500,000",Tier rate,65.2151,-10%,"2,000,001","10,000,000",Tier rate,65.2151,-10%,n/a,n/a,n/a,n/a,n/a
,ARS,"4,500,001","40,000,000",Tier rate,61.5920,-15%,"10,000,001","20,000,000",Tier rate,61.5920,-15%,n/a,n/a,n/a,n/a,n/a
,ARS,"40,000,001","80,000,000",Tier rate,57.9690,-20%,"20,000,001","40,000,000",Tier rate,57.9690,-20%,n/a,n/a,n/a,n/a,n/a
,ARS,"80,000,001",--,Tier rate,54.3459,-25%,"40,000,001",--,Tier rate,54.3459,-25%,n/a,n/a,n/a,n/a,n/a
Nigeria,ARS,0,"100,000",List rate,9.7098,0%,0,"300,000",List rate,9.7098,0%,0,"300,000",List rate,108.6918,0%
,ARS,"100,001","1,000,000",Tier rate,9.2243,-5%,"300,001","2,000,000",Tier rate,9.2243,-5%,"300,001","2,000,000",Tier rate,103.2572,-5%
,ARS,"1,000,001","4,500,000",Tier rate,8.7388,-10%,"2,000,001","10,000,000",Tier rate,8.7388,-10%,"2,000,001","10,000,000",Tier rate,97.8226,-10%
,ARS,"4,500,001","40,000,000",Tier rate,8.2533,-15%,"10,000,001","20,000,000",Tier rate,8.2533,-15%,"10,000,001","20,000,000",Tier rate,92.3880,-15%
,ARS,"40,000,001","80,000,000",Tier rate,7.7678,-20%,"20,000,001","40,000,000",Tier rate,7.7678,-20%,"20,000,001","40,000,000",Tier rate,86.9534,-20%
,ARS,"80,000,001",--,Tier rate,7.2824,-25%,"40,000,001",--,Tier rate,7.2824,-25%,"40,000,001",--,Tier rate,81.5189,-25%
Pakistan,ARS,0,"150,000",List rate,14.4922,0%,0,"100,000",List rate,14.4922,0%,0,"100,000",List rate,108.6918,0%
,ARS,"150,001","1,000,000",Tier rate,13.7676,-5%,"100,001","300,000",Tier rate,13.7676,-5%,"100,001","300,000",Tier rate,103.2572,-5%
,ARS,"1,000,001","4,000,000",Tier rate,13.0430,-10%,"300,001","1,000,000",Tier rate,13.0430,-10%,"300,001","1,000,000",Tier rate,97.8226,-10%
,ARS,"4,000,001","25,000,000",Tier rate,12.3184,-15%,"1,000,001","10,000,000",Tier rate,12.3184,-15%,"1,000,001","10,000,000",Tier rate,92.3880,-15%
,ARS,"25,000,001","50,000,000",Tier rate,11.5938,-20%,"10,000,001","20,000,000",Tier rate,11.5938,-20%,"10,000,001","20,000,000",Tier rate,86.9534,-20%
,ARS,"50,000,001",--,Tier rate,10.8692,-25%,"20,000,001",--,Tier rate,10.8692,-25%,"20,000,001",--,Tier rate,81.5189,-25%
Peru,ARS,0,"100,000",List rate,28.9845,0%,0,"120,000",List rate,28.9845,0%,n/a,n/a,n/a,n/a,n/a
,ARS,"100,001","1,000,000",Tier rate,27.5353,-5%,"120,001","400,000",Tier rate,27.5353,-5%,n/a,n/a,n/a,n/a,n/a
,ARS,"1,000,001","4,500,000",Tier rate,26.0861,-10%,"400,001","1,000,000",Tier rate,26.0861,-10%,n/a,n/a,n/a,n/a,n/a
,ARS,"4,500,001","15,000,000",Tier rate,24.6368,-15%,"1,000,001","5,000,000",Tier rate,24.6368,-15%,n/a,n/a,n/a,n/a,n/a
,ARS,"15,000,001","30,000,000",Tier rate,23.1876,-20%,"5,000,001","10,000,000",Tier rate,23.1876,-20%,n/a,n/a,n/a,n/a,n/a
,ARS,"30,000,001",--,Tier rate,21.7384,-25%,"10,000,001",--,Tier rate,21.7384,-25%,n/a,n/a,n/a,n/a,n/a
Poland,ARS,0,"100,000",List rate,17.6805,0%,0,"300,000",List rate,17.6805,0%,n/a,n/a,n/a,n/a,n/a
