"Cost per message in SAR on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,SAR,"50,000,001","100,000,000",Tier rate,0.0046,-12%,"15,000,001","20,000,000",Tier rate,0.0046,-12%,"15,000,001","20,000,000",Tier rate,0.1002,-12%
,SAR,"100,000,001","200,000,000",Tier rate,0.0043,-18%,"20,000,001","50,000,000",Tier rate,0.0043,-18%,"20,000,001","50,000,000",Tier rate,0.0934,-18%
,SAR,"200,000,001","300,000,000",Tier rate,0.0040,-24%,"50,000,001","100,000,000",Tier rate,0.0040,-24%,"50,000,001","100,000,000",Tier rate,0.0866,-24%
,SAR,"300,000,001",--,Tier rate,0.0036,-30%,"100,000,001",--,Tier rate,0.0036,-30%,"100,000,001",--,Tier rate,0.0797,-30%
Indonesia,SAR,0,"750,000",List rate,0.0937,0%,0,"750,000",List rate,0.0937,0%,0,"750,000",List rate,0.5095,0%
,SAR,"750,001","4,000,000",Tier rate,0.0890,-5%,"750,001","2,000,000",Tier rate,0.0890,-5%,"750,001","2,000,000",Tier rate,0.4840,-5%
,SAR,"4,000,001","25,000,000",Tier rate,0.0843,-10%,"2,000,001","6,000,000",Tier rate,0.0843,-10%,"2,000,001","6,000,000",Tier rate,0.4586,-10%
,SAR,"25,000,001","75,000,000",Tier rate,0.0796,-15%,"6,000,001","30,000,000",Tier rate,0.0796,-15%,"6,000,001","30,000,000",Tier rate,0.4331,-15%
,SAR,"75,000,001","150,000,000",Tier rate,0.0750,-20%,"30,000,001","60,000,000",Tier rate,0.0750,-20%,"30,000,001","60,000,000",Tier rate,0.4076,-20%
,SAR,"150,000,001",--,Tier rate,0.0703,-25%,"60,000,001",--,Tier rate,0.0703,-25%,"60,000,001",--,Tier rate,0.3821,-25%
Israel,SAR,0,"100,000",List rate,0.0199,0%,0,"300,000",List rate,0.0199,0%,n/a,n/a,n/a,n/a,n/a
,SAR,"100,001","1,000,000",Tier rate,0.0189,-5%,"300,001","2,000,000",Tier rate,0.0189,-5%,n/a,n/a,n/a,n/a,n/a
,SAR,"1,000,001","4,500,000",Tier rate,0.0179,-10%,"2,000,001","10,000,000",Tier rate,0.0179,-10%,n/a,n/a,n/a,n/a,n/a
,SAR,"4,500,001","40,000,000",Tier rate,0.0169,-15%,"10,000,001","20,000,000",Tier rate,0.0169,-15%,n/a,n/a,n/a,n/a,n/a
,SAR,"40,000,001","80,000,000",Tier rate,0.0159,-20%,"20,000,001","40,000,000",Tier rate,0.0159,-20%,n/a,n/a,n/a,n/a,n/a
,SAR,"80,000,001",--,Tier rate,0.0149,-25%,"40,000,001",--,Tier rate,0.0149,-25%,n/a,n/a,n/a,n/a,n/a
Italy,SAR,0,"100,000",List rate,0.1124,0%,0,"300,000",List rate,0.1124,0%,n/a,n/a,n/a,n/a,n/a
,SAR,"100,001","1,000,000",Tier rate,0.1068,-5%,"300,001","2,000,000",Tier rate,0.1068,-5%,n/a,n/a,n/a,n/a,n/a
,SAR,"1,000,001","4,500,000",Tier rate,0.1012,-10%,"2,000,001","10,000,000",Tier rate,0.1012,-10%,n/a,n/a,n/a,n/a,n/a
,SAR,"4,500,001","40,000,000",Tier rate,0.0955,-15%,"10,000,001","20,000,000",Tier rate,0.0955,-15%,n/a,n/a,n/a,n/a,n/a
,SAR,"40,000,001","80,000,000",Tier rate,0.0899,-20%,"20,000,001","40,000,000",Tier rate,0.0899,-20%,n/a,n/a,n/a,n/a,n/a
,SAR,"80,000,001",--,Tier rate,0.0843,-25%,"40,000,001",--,Tier rate,0.0843,-25%,n/a,n/a,n/a,n/a,n/a
Malaysia,SAR,0,"150,000",List rate,0.0524,0%,0,"100,000",List rate,0.0524,0%,0,"100,000",List rate,0.1566,0%
,SAR,"150,001","1,000,000",Tier rate,0.0498,-5%,"100,001","300,000",Tier rate,0.0498,-5%,"100,001","300,000",Tier rate,0.1488,-5%
,SAR,"1,000,001","4,000,000",Tier rate,0.0472,-10%,"300,001","1,000,000",Tier rate,0.0472,-10%,"300,001","1,000,000",Tier rate,0.1409,-10%
,SAR,"4,000,001","25,000,000",Tier rate,0.0445,-15%,"1,000,001","10,000,000",Tier rate,0.0445,-15%,"1,000,001","10,000,000",Tier rate,0.1331,-15%
,SAR,"25,000,001","50,000,000",Tier rate,0.0419,-20%,"10,000,001","20,000,000",Tier rate,0.0419,-20%,"10,000,001","20,000,000",Tier rate,0.1253,-20%
,SAR,"50,000,001",--,Tier rate,0.0393,-25%,"20,000,001",--,Tier rate,0.0393,-25%,"20,000,001",--,Tier rate,0.1175,-25%
Mexico,SAR,0,"1,000,000",List rate,0.0318,0%,0,"250,000",List rate,0.0318,0%,n/a,n/a,n/a,n/a,n/a
,SAR,"1,000,001","5,000,000",Tier rate,0.0302,-5%,"250,001","1,000,000",Tier rate,0.0302,-5%,n/a,n/a,n/a,n/a,n/a
,SAR,"5,000,001","10,000,000",Tier rate,0.0286,-10%,"1,000,001","3,000,000",Tier rate,0.0286,-10%,n/a,n/a,n/a,n/a,n/a
,SAR,"10,000,001","20,000,000",Tier rate,0.0270,-15%,"3,000,001","5,000,000",Tier rate,0.0270,-15%,n/a,n/a,n/a,n/a,n/a
,SAR,"20,000,001","40,000,000",Tier rate,0.0254,-20%,"5,000,001","10,000,000",Tier rate,0.0254,-20%,n/a,n/a,n/a,n/a,n/a
,SAR,"40,000,001",--,Tier rate,0.0239,-25%,"10,000,001",--,Tier rate,0.0239,-25%,n/a,n/a,n/a,n/a,n/a
Netherlands,SAR,0,"100,000",List rate,0.1873,0%,0,"300,000",List rate,0.1873,0%,n/a,n/a,n/a,n/a,n/a
,SAR,"100,001","1,000,000",Tier rate,0.1779,-5%,"300,001","2,000,000",Tier rate,0.1779,-5%,n/a,n/a,n/a,n/a,n/a
,SAR,"1,000,001","4,500,000",Tier rate,0.1686,-10%,"2,000,001","10,000,000",Tier rate,0.1686,-10%,n/a,n/a,n/a,n/a,n/a
,SAR,"4,500,001","40,000,000",Tier rate,0.1592,-15%,"10,000,001","20,000,000",Tier rate,0.1592,-15%,n/a,n/a,n/a,n/a,n/a
,SAR,"40,000,001","80,000,000",Tier rate,0.1498,-20%,"20,000,001","40,000,000",Tier rate,0.1498,-20%,n/a,n/a,n/a,n/a,n/a
,SAR,"80,000,001",--,Tier rate,0.1405,-25%,"40,000,001",--,Tier rate,0.1405,-25%,n/a,n/a,n/a,n/a,n/a
Nigeria,SAR,0,"100,000",List rate,0.0251,0%,0,"300,000",List rate,0.0251,0%,0,"300,000",List rate,0.2810,0%
,SAR,"100,001","1,000,000",Tier rate,0.0238,-5%,"300,001","2,000,000",Tier rate,0.0238,-5%,"300,001","2,000,000",Tier rate,0.2670,-5%
,SAR,"1,000,001","4,500,000",Tier rate,0.0226,-10%,"2,000,001","10,000,000",Tier rate,0.0226,-10%,"2,000,001","10,000,000",Tier rate,0.2529,-10%
,SAR,"4,500,001","40,000,000",Tier rate,0.0213,-15%,"10,000,001","20,000,000",Tier rate,0.0213,-15%,"10,000,001","20,000,000",Tier rate,0.2389,-15%
,SAR,"40,000,001","80,000,000",Tier rate,0.0201,-20%,"20,000,001","40,000,000",Tier rate,0.0201,-20%,"20,000,001","40,000,000",Tier rate,0.2248,-20%
,SAR,"80,000,001",--,Tier rate,0.0188,-25%,"40,000,001",--,Tier rate,0.0188,-25%,"40,000,001",--,Tier rate,0.2108,-25%
