"Cost per message in IDR on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,IDR,"100,001","1,000,000",Tier rate,473.26,-5%,"300,001","2,000,000",Tier rate,473.26,-5%,n/a,n/a,n/a,n/a,n/a
,IDR,"1,000,001","4,500,000",Tier rate,448.35,-10%,"2,000,001","10,000,000",Tier rate,448.35,-10%,n/a,n/a,n/a,n/a,n/a
,IDR,"4,500,001","40,000,000",Tier rate,423.44,-15%,"10,000,001","20,000,000",Tier rate,423.44,-15%,n/a,n/a,n/a,n/a,n/a
,IDR,"40,000,001","80,000,000",Tier rate,398.54,-20%,"20,000,001","40,000,000",Tier rate,398.54,-20%,n/a,n/a,n/a,n/a,n/a
,IDR,"80,000,001",--,Tier rate,373.63,-25%,"40,000,001",--,Tier rate,373.63,-25%,n/a,n/a,n/a,n/a,n/a
India,IDR,0,"25,000,000",List rate,19.97,0%,0,"750,000",List rate,19.97,0%,0,"750,000",List rate,433.68,0%
,IDR,"25,000,001","50,000,000",Tier rate,18.77,-6%,"750,001","15,000,000",Tier rate,18.77,-6%,"750,001","15,000,000",Tier rate,407.66,-6%
,IDR,"50,000,001","100,000,000",Tier rate,17.57,-12%,"15,000,001","20,000,000",Tier rate,17.57,-12%,"15,000,001","20,000,000",Tier rate,381.64,-12%
,IDR,"100,000,001","200,000,000",Tier rate,16.38,-18%,"20,000,001","50,000,000",Tier rate,16.38,-18%,"20,000,001","50,000,000",Tier rate,355.62,-18%
,IDR,"200,000,001","300,000,000",Tier rate,15.18,-24%,"50,000,001","100,000,000",Tier rate,15.18,-24%,"50,000,001","100,000,000",Tier rate,329.60,-24%
