"Cost per message in USD on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
Israel,INR,0,"100,000",List rate,0.3885,0%,0,"300,000",List rate,0.3885,0%,n/a,n/a,n/a,n/a,n/a
,INR,"100,001","1,000,000",Tier rate,0.3691,-5%,"300,001","2,000,000",Tier rate,0.3691,-5%,n/a,n/a,n/a,n/a,n/a
,INR,"1,000,001","4,500,000",Tier rate,0.3497,-10%,"2,000,001","10,000,000",Tier rate,0.3497,-10%,n/a,n/a,n/a,n/a,n/a
,INR,"4,500,001","40,000,000",Tier rate,0.3302,-15%,"10,000,001","20,000,000",Tier rate,0.3302,-15%,n/a,n/a,n/a,n/a,n/a
,INR,"40,000,001","80,000,000",Tier rate,0.3108,-20%,"20,000,001","40,000,000",Tier rate,0.3108,-20%,n/a,n/a,n/a,n/a,n/a
,INR,"80,000,001",--,Tier rate,0.2914,-25%,"40,000,001",--,Tier rate,0.2914,-25%,n/a,n/a,n/a,n/a,n/a
Italy,INR,0,"100,000",List rate,2.1974,0%,0,"300,000",List rate,2.1974,0%,n/a,n/a,n/a,n/a,n/a
,INR,"100,001","1,000,000",Tier rate,2.0875,-5%,"300,001","2,000,000",Tier rate,2.0875,-5%,n/a,n/a,n/a,n/a,n/a
,INR,"1,000,001","4,500,000",Tier rate,1.9777,-10%,"2,000,001","10,000,000",Tier rate,1.9777,-10%,n/a,n/a,n/a,n/a,n/a
,INR,"4,500,001","40,000,000",Tier rate,1.8678,-15%,"10,000,001","20,000,000",Tier rate,1.8678,-15%,n/a,n/a,n/a,n/a,n/a
,INR,"40,000,001","80,000,000",Tier rate,1.7579,-20%,"20,000,001","40,000,000",Tier rate,1.7579,-20%,n/a,n/a,n/a,n/a,n/a
,INR,"80,000,001",--,Tier rate,1.6481,-25%,"40,000,001",--,Tier rate,1.6481,-25%,n/a,n/a,n/a,n/a,n/a
Malaysia,INR,0,"150,000",List rate,1.0262,0%,0,"100,000",List rate,1.0262,0%,0,"100,000",List rate,3.0639,0%
,INR,"150,001","1,000,000",Tier rate,0.9749,-5%,"100,001","300,000",Tier rate,0.9749,-5%,"100,001","300,000",Tier rate,2.9107,-5%
,INR,"1,000,001","4,000,000",Tier rate,0.9236,-10%,"300,001","1,000,000",Tier rate,0.9236,-10%,"300,001","1,000,000",Tier rate,2.7575,-10%
,INR,"4,000,001","25,000,000",Tier rate,0.8723,-15%,"1,000,001","10,000,000",Tier rate,0.8723,-15%,"1,000,001","10,000,000",Tier rate,2.6043,-15%
,INR,"25,000,001","50,000,000",Tier rate,0.8210,-20%,"10,000,001","20,000,000",Tier rate,0.8210,-20%,"10,000,001","20,000,000",Tier rate,2.4511,-20%
