"Cost per message in CLP on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,CLP,"80,000,001",--,Tier rate,23.1767,-25%,"40,000,001",--,Tier rate,23.1767,-25%,n/a,n/a,n/a,n/a,n/a
India,CLP,0,"25,000,000",List rate,1.2361,0%,0,"750,000",List rate,1.2361,0%,0,"750,000",List rate,26.8408,0%
,CLP,"25,000,001","50,000,000",Tier rate,1.1619,-6%,"750,001","15,000,000",Tier rate,1.1619,-6%,"750,001","15,000,000",Tier rate,25.2304,-6%
,CLP,"50,000,001","100,000,000",Tier rate,1.0878,-12%,"15,000,001","20,000,000",Tier rate,1.0878,-12%,"15,000,001","20,000,000",Tier rate,23.6199,-12%
,CLP,"100,000,001","200,000,000",Tier rate,1.0136,-18%,"20,000,001","50,000,000",Tier rate,1.0136,-18%,"20,000,001","50,000,000",Tier rate,22.0095,-18%
,CLP,"200,000,001","300,000,000",Tier rate,0.9394,-24%,"50,000,001","100,000,000",Tier rate,0.9394,-24%,"50,000,001","100,000,000",Tier rate,20.3990,-24%
,CLP,"300,000,001",--,Tier rate,0.8653,-30%,"100,000,001",--,Tier rate,0.8653,-30%,"100,000,001",--,Tier rate,18.7886,-30%
Indonesia,CLP,0,"750,000",List rate,22.0730,0%,0,"750,000",List rate,22.0730,0%,0,"750,000",List rate,120.0773,0%
,CLP,"750,001","4,000,000",Tier rate,20.9694,-5%,"750,001","2,000,000",Tier rate,20.9694,-5%,"750,001","2,000,000",Tier rate,114.0734,-5%
,CLP,"4,000,001","25,000,000",Tier rate,19.8657,-10%,"2,000,001","6,000,000",Tier rate,19.8657,-10%,"2,000,001","6,000,000",Tier rate,108.0696,-10%
,CLP,"25,000,001","75,000,000",Tier rate,18.7621,-15%,"6,000,001","30,000,000",Tier rate,18.7621,-15%,"6,000,001","30,000,000",Tier rate,102.0657,-15%
,CLP,"75,000,001","150,000,000",Tier rate,17.6584,-20%,"30,000,001","60,000,000",Tier rate,17.6584,-20%,"30,000,001","60,000,000",Tier rate,96.0618,-20%
,CLP,"150,000,001",--,Tier rate,16.5548,-25%,"60,000,001",--,Tier rate,16.5548,-25%,"60,000,001",--,Tier rate,90.0580,-25%
Israel,CLP,0,"100,000",List rate,4.6795,0%,0,"300,000",List rate,4.6795,0%,n/a,n/a,n/a,n/a,n/a
,CLP,"100,001","1,000,000",Tier rate,4.4455,-5%,"300,001","2,000,000",Tier rate,4.4455,-5%,n/a,n/a,n/a,n/a,n/a
,CLP,"1,000,001","4,500,000",Tier rate,4.2116,-10%,"2,000,001","10,000,000",Tier rate,4.2116,-10%,n/a,n/a,n/a,n/a,n/a
,CLP,"4,500,001","40,000,000",Tier rate,3.9776,-15%,"10,000,001","20,000,000",Tier rate,3.9776,-15%,n/a,n/a,n/a,n/a,n/a
,CLP,"40,000,001","80,000,000",Tier rate,3.7436,-20%,"20,000,001","40,000,000",Tier rate,3.7436,-20%,n/a,n/a,n/a,n/a,n/a
,CLP,"80,000,001",--,Tier rate,3.5096,-25%,"40,000,001",--,Tier rate,3.5096,-25%,n/a,n/a,n/a,n/a,n/a
Italy,CLP,0,"100,000",List rate,26.4876,0%,0,"300,000",List rate,26.4876,0%,n/a,n/a,n/a,n/a,n/a
,CLP,"100,001","1,000,000",Tier rate,25.1632,-5%,"300,001","2,000,000",Tier rate,25.1632,-5%,n/a,n/a,n/a,n/a,n/a
,CLP,"1,000,001","4,500,000",Tier rate,23.8388,-10%,"2,000,001","10,000,000",Tier rate,23.8388,-10%,n/a,n/a,n/a,n/a,n/a
,CLP,"4,500,001","40,000,000",Tier rate,22.5145,-15%,"10,000,001","20,000,000",Tier rate,22.5145,-15%,n/a,n/a,n/a,n/a,n/a
,CLP,"40,000,001","80,000,000",Tier rate,21.1901,-20%,"20,000,001","40,000,000",Tier rate,21.1901,-20%,n/a,n/a,n/a,n/a,n/a
,CLP,"80,000,001",--,Tier rate,19.8657,-25%,"40,000,001",--,Tier rate,19.8657,-25%,n/a,n/a,n/a,n/a,n/a
Malaysia,CLP,0,"150,000",List rate,12.3609,0%,0,"100,000",List rate,12.3609,0%,0,"100,000",List rate,36.9061,0%
,CLP,"150,001","1,000,000",Tier rate,11.7429,-5%,"100,001","300,000",Tier rate,11.7429,-5%,"100,001","300,000",Tier rate,35.0608,-5%
,CLP,"1,000,001","4,000,000",Tier rate,11.1248,-10%,"300,001","1,000,000",Tier rate,11.1248,-10%,"300,001","1,000,000",Tier rate,33.2155,-10%
,CLP,"4,000,001","25,000,000",Tier rate,10.5068,-15%,"1,000,001","10,000,000",Tier rate,10.5068,-15%,"1,000,001","10,000,000",Tier rate,31.3702,-15%
,CLP,"25,000,001","50,000,000",Tier rate,9.8887,-20%,"10,000,001","20,000,000",Tier rate,9.8887,-20%,"10,000,001","20,000,000",Tier rate,29.5249,-20%
,CLP,"50,000,001",--,Tier rate,9.2707,-25%,"20,000,001",--,Tier rate,9.2707,-25%,"20,000,001",--,Tier rate,27.6796,-25%
Mexico,CLP,0,"1,000,000",List rate,7.5048,0%,0,"250,000",List rate,7.5048,0%,n/a,n/a,n/a,n/a,n/a
,CLP,"1,000,001","5,000,000",Tier rate,7.1296,-5%,"250,001","1,000,000",Tier rate,7.1296,-5%,n/a,n/a,n/a,n/a,n/a
,CLP,"5,000,001","10,000,000",Tier rate,6.7543,-10%,"1,000,001","3,000,000",Tier rate,6.7543,-10%,n/a,n/a,n/a,n/a,n/a
,CLP,"10,000,001","20,000,000",Tier rate,6.3791,-15%,"3,000,001","5,000,000",Tier rate,6.3791,-15%,n/a,n/a,n/a,n/a,n/a
,CLP,"20,000,001","40,000,000",Tier rate,6.0038,-20%,"5,000,001","10,000,000",Tier rate,6.0038,-20%,n/a,n/a,n/a,n/a,n/a
,CLP,"40,000,001",--,Tier rate,5.6286,-25%,"10,000,001",--,Tier rate,5.6286,-25%,n/a,n/a,n/a,n/a,n/a
Netherlands,CLP,0,"100,000",List rate,44.1461,0%,0,"300,000",List rate,44.1461,0%,n/a,n/a,n/a,n/a,n/a
,CLP,"100,001","1,000,000",Tier rate,41.9388,-5%,"300,001","2,000,000",Tier rate,41.9388,-5%,n/a,n/a,n/a,n/a,n/a
,CLP,"1,000,001","4,500,000",Tier rate,39.7315,-10%,"2,000,001","10,000,000",Tier rate,39.7315,-10%,n/a,n/a,n/a,n/a,n/a
,CLP,"4,500,001","40,000,000",Tier rate,37.5242,-15%,"10,000,001","20,000,000",Tier rate,37.5242,-15%,n/a,n/a,n/a,n/a,n/a
