"Cost per message in EUR on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,EUR,"150,001","1,000,000",Tier rate,0.0079,-5%,"100,001","300,000",Tier rate,0.0079,-5%,"100,001","300,000",Tier rate,0.0591,-5%
,EUR,"1,000,001","4,000,000",Tier rate,0.0075,-10%,"300,001","1,000,000",Tier rate,0.0075,-10%,"300,001","1,000,000",Tier rate,0.0560,-10%
,EUR,"4,000,001","25,000,000",Tier rate,0.0071,-15%,"1,000,001","10,000,000",Tier rate,0.0071,-15%,"1,000,001","10,000,000",Tier rate,0.0529,-15%
,EUR,"25,000,001","50,000,000",Tier rate,0.0066,-20%,"10,000,001","20,000,000",Tier rate,0.0066,-20%,"10,000,001","20,000,000",Tier rate,0.0498,-20%
,EUR,"50,000,001",--,Tier rate,0.0062,-25%,"20,000,001",--,Tier rate,0.0062,-25%,"20,000,001",--,Tier rate,0.0467,-25%
Peru,EUR,0,"100,000",List rate,0.0166,0%,0,"120,000",List rate,0.0166,0%,n/a,n/a,n/a,n/a,n/a
,EUR,"100,001","1,000,000",Tier rate,0.0158,-5%,"120,001","400,000",Tier rate,0.0158,-5%,n/a,n/a,n/a,n/a,n/a
,EUR,"1,000,001","4,500,000",Tier rate,0.0149,-10%,"400,001","1,000,000",Tier rate,0.0149,-10%,n/a,n/a,n/a,n/a,n/a
,EUR,"4,500,001","15,000,000",Tier rate,0.0141,-15%,"1,000,001","5,000,000",Tier rate,0.0141,-15%,n/a,n/a,n/a,n/a,n/a
,EUR,"15,000,001","30,000,000",Tier rate,0.0133,-20%,"5,000,001","10,000,000",Tier rate,0.0133,-20%,n/a,n/a,n/a,n/a,n/a
,EUR,"30,000,001",--,Tier rate,0.0125,-25%,"10,000,001",--,Tier rate,0.0125,-25%,n/a,n/a,n/a,n/a,n/a
Poland,EUR,0,"100,000",List rate,0.0101,0%,0,"300,000",List rate,0.0101,0%,n/a,n/a,n/a,n/a,n/a
,EUR,"100,001","1,000,000",Tier rate,0.0096,-5%,"300,001","2,000,000",Tier rate,0.0096,-5%,n/a,n/a,n/a,n/a,n/a
,EUR,"1,000,001","4,500,000",Tier rate,0.0091,-10%,"2,000,001","10,000,000",Tier rate,0.0091,-10%,n/a,n/a,n/a,n/a,n/a
,EUR,"4,500,001","40,000,000",Tier rate,0.0086,-15%,"10,000,001","20,000,000",Tier rate,0.0086,-15%,n/a,n/a,n/a,n/a,n/a
,EUR,"40,000,001","80,000,000",Tier rate,0.0081,-20%,"20,000,001","40,000,000",Tier rate,0.0081,-20%,n/a,n/a,n/a,n/a,n/a
,EUR,"80,000,001",--,Tier rate,0.0076,-25%,"40,000,001",--,Tier rate,0.0076,-25%,n/a,n/a,n/a,n/a,n/a
Qatar,EUR,0,"100,000",List rate,0.0099,0%,0,"300,000",List rate,0.0099,0%,n/a,n/a,n/a,n/a,n/a
,EUR,"100,001","1,000,000",Tier rate,0.0094,-5%,"300,001","2,000,000",Tier rate,0.0094,-5%,n/a,n/a,n/a,n/a,n/a
,EUR,"1,000,001","4,500,000",Tier rate,0.0089,-10%,"2,000,001","10,000,000",Tier rate,0.0089,-10%,n/a,n/a,n/a,n/a,n/a
,EUR,"4,500,001","40,000,000",Tier rate,0.0084,-15%,"10,000,001","20,000,000",Tier rate,0.0084,-15%,n/a,n/a,n/a,n/a,n/a
,EUR,"40,000,001","80,000,000",Tier rate,0.0079,-20%,"20,000,001","40,000,000",Tier rate,0.0079,-20%,n/a,n/a,n/a,n/a,n/a
,EUR,"80,000,001",--,Tier rate,0.0074,-25%,"40,000,001",--,Tier rate,0.0074,-25%,n/a,n/a,n/a,n/a,n/a
Romania,EUR,0,"100,000",List rate,0.0239,0%,0,"300,000",List rate,0.0239,0%,n/a,n/a,n/a,n/a,n/a
,EUR,"100,001","1,000,000",Tier rate,0.0227,-5%,"300,001","2,000,000",Tier rate,0.0227,-5%,n/a,n/a,n/a,n/a,n/a
,EUR,"1,000,001","4,500,000",Tier rate,0.0215,-10%,"2,000,001","10,000,000",Tier rate,0.0215,-10%,n/a,n/a,n/a,n/a,n/a
,EUR,"4,500,001","40,000,000",Tier rate,0.0203,-15%,"10,000,001","20,000,000",Tier rate,0.0203,-15%,n/a,n/a,n/a,n/a,n/a
,EUR,"40,000,001","80,000,000",Tier rate,0.0191,-20%,"20,000,001","40,000,000",Tier rate,0.0191,-20%,n/a,n/a,n/a,n/a,n/a
,EUR,"80,000,001",--,Tier rate,0.0179,-25%,"40,000,001",--,Tier rate,0.0179,-25%,n/a,n/a,n/a,n/a,n/a
Russia,EUR,0,"100,000",List rate,0.0331,0%,0,"300,000",List rate,0.0331,0%,n/a,n/a,n/a,n/a,n/a
,EUR,"100,001","1,000,000",Tier rate,0.0314,-5%,"300,001","2,000,000",Tier rate,0.0314,-5%,n/a,n/a,n/a,n/a,n/a
,EUR,"1,000,001","4,500,000",Tier rate,0.0298,-10%,"2,000,001","10,000,000",Tier rate,0.0298,-10%,n/a,n/a,n/a,n/a,n/a
,EUR,"4,500,001","40,000,000",Tier rate,0.0281,-15%,"10,000,001","20,000,000",Tier rate,0.0281,-15%,n/a,n/a,n/a,n/a,n/a
,EUR,"40,000,001","80,000,000",Tier rate,0.0265,-20%,"20,000,001","40,000,000",Tier rate,0.0265,-20%,n/a,n/a,n/a,n/a,n/a
,EUR,"80,000,001",--,Tier rate,0.0248,-25%,"40,000,001",--,Tier rate,0.0248,-25%,n/a,n/a,n/a,n/a,n/a
Saudi Arabia,EUR,0,"100,000",List rate,0.0088,0%,0,"300,000",List rate,0.0088,0%,0,"300,000",List rate,0.0495,0%
,EUR,"100,001","1,000,000",Tier rate,0.0084,-5%,"300,001","2,000,000",Tier rate,0.0084,-5%,"300,001","2,000,000",Tier rate,0.0470,-5%
,EUR,"1,000,001","4,500,000",Tier rate,0.0079,-10%,"2,000,001","10,000,000",Tier rate,0.0079,-10%,"2,000,001","10,000,000",Tier rate,0.0446,-10%
,EUR,"4,500,001","40,000,000",Tier rate,0.0075,-15%,"10,000,001","20,000,000",Tier rate,0.0075,-15%,"10,000,001","20,000,000",Tier rate,0.0421,-15%
,EUR,"40,000,001","80,000,000",Tier rate,0.0070,-20%,"20,000,001","40,000,000",Tier rate,0.0070,-20%,"20,000,001","40,000,000",Tier rate,0.0396,-20%
,EUR,"80,000,001",--,Tier rate,0.0066,-25%,"40,000,001",--,Tier rate,0.0066,-25%,"40,000,001",--,Tier rate,0.0371,-25%
Singapore,EUR,0,"150,000",List rate,0.0133,0%,0,"100,000",List rate,0.0133,0%,n/a,n/a,n/a,n/a,n/a
,EUR,"150,001","1,000,000",Tier rate,0.0126,-5%,"100,001","300,000",Tier rate,0.0126,-5%,n/a,n/a,n/a,n/a,n/a
,EUR,"1,000,001","4,000,000",Tier rate,0.0120,-10%,"300,001","1,000,000",Tier rate,0.0120,-10%,n/a,n/a,n/a,n/a,n/a
,EUR,"4,000,001","25,000,000",Tier rate,0.0113,-15%,"1,000,001","10,000,000",Tier rate,0.0113,-15%,n/a,n/a,n/a,n/a,n/a
,EUR,"25,000,001","50,000,000",Tier rate,0.0106,-20%,"10,000,001","20,000,000",Tier rate,0.0106,-20%,n/a,n/a,n/a,n/a,n/a
,EUR,"50,000,001",--,Tier rate,0.0100,-25%,"20,000,001",--,Tier rate,0.0100,-25%,n/a,n/a,n/a,n/a,n/a
South Africa,EUR,0,"100,000",List rate,0.0063,0%,0,"300,000",List rate,0.0063,0%,0,"300,000",List rate,0.0166,0%
,EUR,"100,001","1,000,000",Tier rate,0.0060,-5%,"300,001","2,000,000",Tier rate,0.0060,-5%,"300,001","2,000,000",Tier rate,0.0158,-5%
