"Cost per message in COP on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,COP,"1,000,001","4,000,000",Tier rate,46.3909,-10%,"300,001","1,000,000",Tier rate,46.3909,-10%,"300,001","1,000,000",Tier rate,138.5098,-10%
,COP,"4,000,001","25,000,000",Tier rate,43.8136,-15%,"1,000,001","10,000,000",Tier rate,43.8136,-15%,"1,000,001","10,000,000",Tier rate,130.8148,-15%
,COP,"25,000,001","50,000,000",Tier rate,41.2363,-20%,"10,000,001","20,000,000",Tier rate,41.2363,-20%,"10,000,001","20,000,000",Tier rate,123.1198,-20%
,COP,"50,000,001",--,Tier rate,38.6591,-25%,"20,000,001",--,Tier rate,38.6591,-25%,"20,000,001",--,Tier rate,115.4249,-25%
Mexico,COP,0,"1,000,000",List rate,31.2954,0%,0,"250,000",List rate,31.2954,0%,n/a,n/a,n/a,n/a,n/a
,COP,"1,000,001","5,000,000",Tier rate,29.7306,-5%,"250,001","1,000,000",Tier rate,29.7306,-5%,n/a,n/a,n/a,n/a,n/a
,COP,"5,000,001","10,000,000",Tier rate,28.1659,-10%,"1,000,001","3,000,000",Tier rate,28.1659,-10%,n/a,n/a,n/a,n/a,n/a
,COP,"10,000,001","20,000,000",Tier rate,26.6011,-15%,"3,000,001","5,000,000",Tier rate,26.6011,-15%,n/a,n/a,n/a,n/a,n/a
,COP,"20,000,001","40,000,000",Tier rate,25.0363,-20%,"5,000,001","10,000,000",Tier rate,25.0363,-20%,n/a,n/a,n/a,n/a,n/a
,COP,"40,000,001",--,Tier rate,23.4716,-25%,"10,000,001",--,Tier rate,23.4716,-25%,n/a,n/a,n/a,n/a,n/a
Netherlands,COP,0,"100,000",List rate,184.0907,0%,0,"300,000",List rate,184.0907,0%,n/a,n/a,n/a,n/a,n/a
,COP,"100,001","1,000,000",Tier rate,174.8862,-5%,"300,001","2,000,000",Tier rate,174.8862,-5%,n/a,n/a,n/a,n/a,n/a
,COP,"1,000,001","4,500,000",Tier rate,165.6816,-10%,"2,000,001","10,000,000",Tier rate,165.6816,-10%,n/a,n/a,n/a,n/a,n/a
,COP,"4,500,001","40,000,000",Tier rate,156.4771,-15%,"10,000,001","20,000,000",Tier rate,156.4771,-15%,n/a,n/a,n/a,n/a,n/a
,COP,"40,000,001","80,000,000",Tier rate,147.2726,-20%,"20,000,001","40,000,000",Tier rate,147.2726,-20%,n/a,n/a,n/a,n/a,n/a
