"Cost per message in MXN on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,MXN,"100,001","1,000,000",Tier rate,0.0927,-5%,"300,001","2,000,000",Tier rate,0.0927,-5%,n/a,n/a,n/a,n/a,n/a
,MXN,"1,000,001","4,500,000",Tier rate,0.0878,-10%,"2,000,001","10,000,000",Tier rate,0.0878,-10%,n/a,n/a,n/a,n/a,n/a
,MXN,"4,500,001","40,000,000",Tier rate,0.0830,-15%,"10,000,001","20,000,000",Tier rate,0.0830,-15%,n/a,n/a,n/a,n/a,n/a
,MXN,"40,000,001","80,000,000",Tier rate,0.0781,-20%,"20,000,001","40,000,000",Tier rate,0.0781,-20%,n/a,n/a,n/a,n/a,n/a
,MXN,"80,000,001",--,Tier rate,0.0732,-25%,"40,000,001",--,Tier rate,0.0732,-25%,n/a,n/a,n/a,n/a,n/a
Italy,MXN,0,"100,000",List rate,0.5522,0%,0,"300,000",List rate,0.5522,0%,n/a,n/a,n/a,n/a,n/a
,MXN,"100,001","1,000,000",Tier rate,0.5246,-5%,"300,001","2,000,000",Tier rate,0.5246,-5%,n/a,n/a,n/a,n/a,n/a
,MXN,"1,000,001","4,500,000",Tier rate,0.4970,-10%,"2,000,001","10,000,000",Tier rate,0.4970,-10%,n/a,n/a,n/a,n/a,n/a
,MXN,"4,500,001","40,000,000",Tier rate,0.4694,-15%,"10,000,001","20,000,000",Tier rate,0.4694,-15%,n/a,n/a,n/a,n/a,n/a
,MXN,"40,000,001","80,000,000",Tier rate,0.4418,-20%,"20,000,001","40,000,000",Tier rate,0.4418,-20%,n/a,n/a,n/a,n/a,n/a
,MXN,"80,000,001",--,Tier rate,0.4142,-25%,"40,000,001",--,Tier rate,0.4142,-25%,n/a,n/a,n/a,n/a,n/a
Malaysia,MXN,0,"150,000",List rate,0.2577,0%,0,"100,000",List rate,0.2577,0%,0,"100,000",List rate,0.7694,0%
,MXN,"150,001","1,000,000",Tier rate,0.2448,-5%,"100,001","300,000",Tier rate,0.2448,-5%,"100,001","300,000",Tier rate,0.7309,-5%
,MXN,"1,000,001","4,000,000",Tier rate,0.2319,-10%,"300,001","1,000,000",Tier rate,0.2319,-10%,"300,001","1,000,000",Tier rate,0.6925,-10%
,MXN,"4,000,001","25,000,000",Tier rate,0.2190,-15%,"1,000,001","10,000,000",Tier rate,0.2190,-15%,"1,000,001","10,000,000",Tier rate,0.6540,-15%
,MXN,"25,000,001","50,000,000",Tier rate,0.2062,-20%,"10,000,001","20,000,000",Tier rate,0.2062,-20%,"10,000,001","20,000,000",Tier rate,0.6155,-20%
,MXN,"50,000,001",--,Tier rate,0.1933,-25%,"20,000,001",--,Tier rate,0.1933,-25%,"20,000,001",--,Tier rate,0.5771,-25%
Mexico,MXN,0,"1,000,000",List rate,0.1565,0%,0,"250,000",List rate,0.1565,0%,n/a,n/a,n/a,n/a,n/a
